name;model;manufacturer;cost_in_credits;length;max_atmosphering_speed;crew;passengers;cargo_capacity;consumables;hyperdrive_rating;MGLT;starship_class
Executor;Executor-class star dreadnought;Kuat Drive Yards;1143350000.;19000.;;279144;38000;250000000.;6 years;2.0;40;Star_Dreadnought
Sentinel-class landing craft;Sentinel-class landing craft;Sienar Fleet Systems;240000.;38;1000;5;75;180000.;1 month;1.0;70;Landing_Craft
Death Star;DS-1 Orbital Battle Station;Sienar Fleet Systems;1000000000000.;120000.;;342953;843342;1000000000000.;3 years;4.0;10;Deep_Space_Mobile_Battlestation
Millennium Falcon;YT-1300 light freighter;Corellian Engineering Corporation;100000.;34.37;1050;4;6;100000.;2 months;0.5;75;Light_Freighter
Y-wing;BTL Y-wing;Koensayr Manufacturing;134999.;14;1000;2;0;110;1 week;1.0;80;Assault_Starfighter
X-wing;T-65 X-wing;Incom Corporation;149999.;12.5;1050;1;0;110;1 week;1.0;100;Star_Fighter
TIE Advanced x1;Twin Ion Engine Advanced x1;Sienar Fleet Systems;;9.2;1200;1;0;150;5 days;1.0;105;Star_Fighter
Slave 1;Firespray-31-class patrol and attack;Kuat Systems Engineering;;21.5;1000;1;6;70000.;1 month;3.0;70;Patrol_Craft
Imperial shuttle;Lambda-class T-4a shuttle;Sienar Fleet Systems;240000.;20;850;6;20;80000.;2 months;1.0;50;Armed_Government_Transport
EF76 Nebulon-B escort frigate;EF76 Nebulon-B escort frigate;Kuat Drive Yards;8500000.;300;800;854;75;6000000.;2 years;2.0;40;Escort_Ship
Calamari Cruiser;MC80 Liberty type Star Cruiser;Mon Calamari shipyards;104000000.;1200;;5400;1200;;2 years;1.0;60;Star_Cruiser
A-wing;RZ-1 A-wing Interceptor;Incom Corporation;175000.;9.6;1300;1;0;40;1 week;1.0;120;Star_Fighter
B-wing;A/SF-01 B-wing starfighter;Slayn & Korpil;220000.;16.9;950;1;0;45;1 week;2.0;91;Assault_Starfighter
Republic Cruiser;Consular-class cruiser;Corellian Engineering Corporation;;115;900;9;16;;;2.0;;Space_Cruiser
Naboo fighter;N-1 starfighter;Theed Palace Space Vessel Engineering Corps;200000.;11;1100;1;0;65;7 days;1.0;;Star_Fighter
Naboo Royal Starship;J-type 327 Nubian royal starship;Nubia Star Drives;;76;920;8;0;;;1.8;;Yacht
Scimitar;Star Courier;Republic Sienar Systems;55000000.;26.5;1180;1;6;2500000.;30 days;1.5;;Space_Transport
J-type diplomatic barge;J-type diplomatic barge;Nubia Star Drives;2000000.;39;2000;5;10;;1 year;0.7;;Diplomatic_Barge
AA-9 Coruscant freighter;Botajef AA-9 Freighter-Liner;Botajef Shipyards;;390;;;30000;;;;;Freighter
Jedi starfighter;Delta-7 Aethersprite-class interceptor;Kuat Systems Engineering;180000.;8;1150;1;0;60;7 days;1.0;;Starfighter
H-type Nubian yacht;H-type Nubian yacht;Theed Palace Space Vessel Engineering Corps;;47.9;8000;4;0;;;0.9;;Yacht
Star Destroyer;Imperial I-class Star Destroyer;Kuat Drive Yards;150000000.;1600.;975;47060;0;36000000.;2 years;2.0;60;Star_Destroyer
Trade Federation cruiser;Providence-class carrier/destroyer;Free Dac Volunteers Engineering;125000000.;1088;1050;600;48247;50000000.;4 years;1.5;;Capital_Ship
Theta-class T-2c shuttle;Theta-class T-2c shuttle;Cygnus Spaceworks;1000000.;18.5;2000;5;16;50000.;56 days;1.0;;Transport
T-70 X-wing fighter;T-70 X-wing fighter;Incom Corporation;;;;1;0;;;;;Fighter
Rebel transport;GR-75 medium transport;Incom Corporation;;90;650;6;90;19000000.;6 months;4.0;20;Medium_Transport
Droid control ship;Lucrehulk-class Droid Control Ship;Incom Corporation;;3170;;175;139000;4000000000.;500 days;2.0;;Droid_Control_Ship
Republic Assault ship;Acclamator I-class assault ship;Rothana Heavy Engineering;;752;;700;16000;11250000.;2 years;0.6;;Assault_Ship
Solar Sailer;Punworcca 116-class interstellar sloop;Huppla Pasa Tisc Shipwrights Collective;35700.;15.2;1600;3;11;240;7 days;1.5;;Yacht
Republic attack cruiser;Senator-class Star Destroyer;Kuat Drive Yards;59000000.;1137;975;7400;2000;20000000.;2 years;1.0;;Star_Destroyer
Naboo star skiff;J-type star skiff;Nubia Star Drives;;29.2;1050;3;3;;;0.5;;Yacht
Jedi Interceptor;Eta-2 Actis-class light interceptor;Kuat Systems Engineering;320000.;5.47;1500;1;0;60;2 days;1.0;;Star_Fighter
arc-170;Aggressive Reconnaissance-170 starfighte;Incom Corporation;155000.;14.5;1000;3;0;110;5 days;1.0;100;Star_Fighter
Belbullab-22 starfighter;Belbullab-22 starfighter;Feethan Ottraw Scalable Assemblies;168000.;6.71;1100;1;0;140;7 days;6;;Star_Fighter
V-wing;Alpha-3 Nimbus-class V-wing starfighter;Kuat Systems Engineering;102500.;7.9;1050;1;0;60;15 hours;1.0;;Star_Fighter
CR90 corvette;CR90 corvette;Corellian Engineering Corporation;3500000.;150;950;165;600;3000000.;1 year;2.0;60;Corvette
Banking clan frigate;Munificent-class star frigate;Incom Corporation;57000000.;825;;200;150000.;40000000.;2 years;1.0;;Cruiser
